arxiv_id,title,abstract,authors,published,updated,primary_category,all_categories,comments,journal_ref,doi,abstract_url,pdf_url,collection_query,collection_year
2301.00319,Quantum Hairy Black Hole Formation and Horizon Quantum Mechanics,"After introducing the gravitational decoupling method and the hairy black hole recently derived from it, we investigate the formation of quantum hairy black holes by applying the horizon quantum mechanics formalism. It enables us to determine how external fields, characterized by hairy parameters, affect the probability of spherically symmetric black hole formation and the generalized uncertainty principle.","[""R. T. Cavalcanti"", ""J. M. Hoff da Silva""]",2023-01-01T01:33:04+00:00,2023-01-01T01:33:04+00:00,gr-qc,"[""gr-qc"", ""quant-ph""]","10 pages, 5 figures","Universe 2023, 9(1), 23",10.3390/universe9010023,http://arxiv.org/abs/2301.00319v1,https://arxiv.org/pdf/2301.00319v1,cat:quant-ph AND submittedDate:[202301010000 TO 202312312359],2023
2301.00334,Complete Genuine Multipartite Entanglement Monotone,"A complete characterization and quantification of entanglement, particularly the multipartite entanglement, remains an unfinished long-term goal in quantum information theory. As long as the multipartite system is concerned, the relation between the entanglement contained in different partitions or different subsystems need to take into account. The complete multipartite entanglement measure and the complete monogamy relation is a framework that just deals with such a issue. In this paper, we put forward conditions to justify whether the multipartite entanglement monotone (MEM) and genuine multipartite entanglement monotone (GMEM) are complete, completely monogamous, and tightly complete monogamous according to the feature of the reduced function. Especially, with the assumption that the maximal reduced function is nonincreasing on average under LOCC, we proposed a class of complete MEMs and a class of complete GMEMs via the maximal reduced function for the first time. By comparison, it is shown that, for the tripartite case, this class of GMEMs is better than the one defined from the minimal bipartite entanglement in literature under the framework of complete MEM and complete monogamy relation. In addition, the relation between monogamy, complete monogamy, and the tightly complete monogamy are revealed in light of different kinds of MEMs and GMEMs.","[""Yu Guo""]",2023-01-01T03:00:47+00:00,2025-08-19T03:40:24+00:00,quant-ph,"[""quant-ph""]","14 pages, 2 figures, 5 tables. Some errors are fixed",Results in Physics 57 (2024) 107430,10.1016/j.rinp.2024.107430,http://arxiv.org/abs/2301.00334v3,https://arxiv.org/pdf/2301.00334v3,cat:quant-ph AND submittedDate:[202301010000 TO 202312312359],2023
2301.00338,Unification of thermal and quantum noise in gravitational-wave detectors,"Contemporary gravitational-wave detectors are fundamentally limited by thermal noise -- due to dissipation in the mechanical elements of the test mass -- and quantum noise -- from the vacuum fluctuations of the optical field used to probe the test mass position. Two other fundamental noises can in principle also limit sensitivity: test-mass quantization noise due to the zero-point fluctuation of its mechanical modes, and thermal excitation of the optical field. We use the quantum fluctuation-dissipation theorem to unify all four noises. This unified picture shows precisely when test-mass quantization noise and optical thermal noise can be ignored.","[""Chris Whittle"", ""Lee McCuller"", ""Vivishek Sudhir"", ""Matthew Evans""]",2023-01-01T03:57:10+00:00,2023-01-01T03:57:10+00:00,astro-ph.IM,"[""astro-ph.IM"", ""gr-qc"", ""quant-ph""]","5 pages, 2 figures","Phys. Rev. Lett. 130, 241401 (2023)",10.1103/PhysRevLett.130.241401,http://arxiv.org/abs/2301.00338v1,https://arxiv.org/pdf/2301.00338v1,cat:quant-ph AND submittedDate:[202301010000 TO 202312312359],2023
2301.00342,Many-body collective neutrino oscillations: recent developments,"Neutrino flavor transformations in core-collapse supernovae and binary neutron star mergers represent a complex and unsolved problem that is integral to our understanding of the dynamics and nucleosynthesis in these environments. The high number densities of neutrinos present in these environments can engender various collective effects in neutrino flavor transformations, driven either by neutrino-neutrino coherent scattering, or in some cases, through collisional (incoherent) interactions. An ensemble of neutrinos undergoing coherent scattering among themselves is an interacting quantum many-body system -- as such, there is a tantalising prospect of quantum entanglement developing between the neutrinos, which can leave imprints on their flavor evolution histories. Here, we seek to summarize recent progress that has been made towards understanding this phenomenon.","[""Amol V. Patwardhan"", ""Michael J. Cervia"", ""Ermal Rrapaj"", ""Pooja Siwach"", ""A. B. Balantekin""]",2023-01-01T04:15:56+00:00,2023-01-01T04:15:56+00:00,hep-ph,"[""hep-ph"", ""astro-ph.HE"", ""nucl-th"", ""quant-ph""]","16 pages, 1 figure. Matches version to appear in Springer Handbook of Nuclear Physics (minus stylistic edits)","In: Handbook of Nuclear Physics (2022), Springer Nature, Singapore, edited by Tanihata, I., Toki, H., Kajino, T",10.1007/978-981-15-8818-1_126-1,http://arxiv.org/abs/2301.00342v1,https://arxiv.org/pdf/2301.00342v1,cat:quant-ph AND submittedDate:[202301010000 TO 202312312359],2023
2301.00370,Matching upper bounds on symmetric predicates in quantum communication complexity,"In this paper, we focus on the quantum communication complexity of functions of the form $f \circ G = f(G(X_1, Y_1), \ldots, G(X_n, Y_n))$ where $f: \{0, 1\}^n \to \{0, 1\}$ is a symmetric function, $G: \{0, 1\}^j \times \{0, 1\}^k \to \{0, 1\}$ is any function and Alice (resp. Bob) is given $(X_i)_{i \leq n}$ (resp. $(Y_i)_{i \leq n}$). Recently, Chakraborty et al. [STACS 2022] showed that the quantum communication complexity of $f \circ G$ is $O(Q(f)\mathrm{QCC}_\mathrm{E}(G))$ when the parties are allowed to use shared entanglement, where $Q(f)$ is the query complexity of $f$ and $\mathrm{QCC}_\mathrm{E}(G)$ is the exact communication complexity of $G$. In this paper, we first show that the same statement holds without shared entanglement, which generalizes their result. Based on the improved result, we next show tight upper bounds on $f \circ \mathrm{AND}_2$ for any symmetric function $f$ (where $\textrm{AND}_2 : \{0, 1\} \times \{0, 1\} \to \{0, 1\}$ denotes the 2-bit AND function) in both models: with shared entanglement and without shared entanglement. This matches the well-known lower bound by Razborov~[Izv. Math. 67(1) 145, 2003] when shared entanglement is allowed and improves Razborov's bound when shared entanglement is not allowed.","[""Daiki Suruga""]",2023-01-01T08:30:35+00:00,2023-01-09T15:32:40+00:00,quant-ph,"[""quant-ph"", ""cs.CC""]",11 pages,,,http://arxiv.org/abs/2301.00370v2,https://arxiv.org/pdf/2301.00370v2,cat:quant-ph AND submittedDate:[202301010000 TO 202312312359],2023
2301.00380,Ultrafast switching of persistent electron and hole currents in ring molecules,"A circularly polarized laser pulse can induce persistent intra-molecular currents by either exciting or ionizing molecules. These two cases are identified as electron currents and hole currents, respectively, and up to now they have been studied only separately. We report \textit{ab initio} time-dependent density-functional theory (TDDFT) simulations of currents during resonance-enhanced two-photon ionization of benzene, which reveal for the first time that both electron and hole currents can be present simultaneously. By adjusting the intensity of the laser pulse, the balance between the two types of current can be controlled, and the overall sign of the current can be switched. We provide a physical explanation for the effect in terms of complex molecular orbitals which is consistent with the TDDFT simulations.","[""Tennesse Joyce"", ""Agnieszka Jaron""]",2023-01-01T09:56:29+00:00,2023-01-01T09:56:29+00:00,physics.chem-ph,"[""physics.chem-ph"", ""physics.atm-clus"", ""quant-ph""]",,"Physical Review A 108, 053114 (2023)",,http://arxiv.org/abs/2301.00380v1,https://arxiv.org/pdf/2301.00380v1,cat:quant-ph AND submittedDate:[202301010000 TO 202312312359],2023
2301.00413,Sudden death of entanglement with Hamiltonian ensemble assisted by auxiliary qubits,"In this paper, we theoretically propose a method to simulate the longitudinal relaxation of a single qubit by coupling it to an auxiliary qubit. In order to mimic the finite-temperature relaxation, we utilize the Hamiltonian-ensemble approach [Kropf, Gneiting, and Buchleitner, Phys. Rev. X 6, 031023 (2016)] and in each realization the auxiliary qubit possesses a random level spacing. The longitudinal relaxation arises as a consequence of the ensemble average and the interaction between the working qubit and the auxiliary qubit. Furthermore, we apply this approach to investigate the influence of the longitudinal relaxation and the transverse relaxation on the entanglement dynamics of two qubits. It is discovered that the sudden death of the entanglement will occur as long as the longitudinal relaxation is present. The transverse relaxation assists the longitudinal relaxation and thus accelerates the finite-time disentanglement.","[""Congwei Lu"", ""Wanting He"", ""Jun Wang"", ""Haibo Wang"", ""Qing Ai""]",2023-01-01T14:42:27+00:00,2023-08-04T06:58:51+00:00,quant-ph,"[""quant-ph""]","8 pages,7 figures","Phys.Rev.A 108, 012621 (2023)",10.1103/PhysRevA.108.012621,http://arxiv.org/abs/2301.00413v2,https://arxiv.org/pdf/2301.00413v2,cat:quant-ph AND submittedDate:[202301010000 TO 202312312359],2023
2301.01595,Quantum Representations of Sound: from mechanical waves to quantum circuits,"By the time of writing, quantum audio still is a very young area of study, even within the quantum signal processing community. This chapter introduces the state of the art in quantum audio and discusses methods for the quantum representation of audio signals. Currently, no quantum representation strategy claims to be the best one for audio applications. Each one presents advantages and disadvantages. It can be argued that future quantum audio representation schemes will make use of multiple strategies aimed at specific applications. NOTE: This is an unedited abridged version of the pre-submission draft of a chapter, with the same title, published in the book Quantum Computer Music: Foundations, Methods and Advanced Concepts, by E. R. Miranda (pp. 223 - 274). Please refer to the version in this book for application examples and a discussion on sound synthesis methods based on quantum audio representation and their potential for developing new types of musical instruments. https://link.springer.com/book/10.1007/978-3-031-13909-3","[""Paulo V. Itaborai"", ""Eduardo R. Miranda""]",2023-01-01T17:10:30+00:00,2023-01-01T17:10:30+00:00,quant-ph,"[""quant-ph"", ""cs.SD"", ""eess.AS""]","29 pages,26 figures. Accompanying Python package is available: https://pypi.org/project/quantumaudio/",,,http://arxiv.org/abs/2301.01595v1,https://arxiv.org/pdf/2301.01595v1,cat:quant-ph AND submittedDate:[202301010000 TO 202312312359],2023
2301.00460,First Measurement of Neutron Birefringence in Polarized $^{129}$Xe and $^{131}$Xe Nuclei,"We present the first measurements of polarized neutron birefringence in transmission through nuclear-polarized $^{129}$Xe and $^{131}$Xe gas and determine the neutron incoherent scattering lengths $b_i(^{129}Xe)=0.186\pm(0.021)_{stat.}\pm(0.004)_{syst.}\space\text{ fm}$ and $b_i(^{131}Xe)=2.09\pm(0.29)_{stat.}\pm(0.12)_{syst.}\space\text{ fm}$ for the first time. These results determine the essential parameter needed for interpretation of spin-dependent neutron-scattering studies on polarized xenon ensembles, with possible future applications ranging from tests of time-reversal violation to mode-entangled neutron scattering experiments on nuclear-polarized systems.","[""H. Lu"", ""M. J. Barlow"", ""D. Basler"", ""P. Gutfreund"", ""O. Holderer"", ""A. Ioffe"", ""S. Pasini"", ""P. Pistel"", ""Z. Salhi"", ""K. Zhernenkov"", ""B. M. Goodson"", ""W. M. Snow"", ""E. Babcock""]",2023-01-01T19:25:14+00:00,2023-01-01T19:25:14+00:00,nucl-ex,"[""nucl-ex"", ""cond-mat.mtrl-sci"", ""hep-ex"", ""physics.atom-ph"", ""quant-ph""]","7 pages, 3 figures, submitted to PRL",,,http://arxiv.org/abs/2301.00460v1,https://arxiv.org/pdf/2301.00460v1,cat:quant-ph AND submittedDate:[202301010000 TO 202312312359],2023
2301.01714,Canonical steering ellipsoids of pure symmetric multiqubit states with two distinct spinors and volume monogamy of steering,"Quantum steering ellipsoid formalism provides a faithful representation of all two-qubit states and helps in obtaining correlation properties of the state through the steering ellipsoid. The steering ellipsoids corresponding to the two-qubit subsystems of permutation symmetric $N$-qubit states is analysed here. The steering ellipsoids of two-qubit states that have undergone local operations on both the qubits so as to bring the state to its canonical form are the so-called canonical steering ellipsoids. We construct and analyze the geometric features of the canonical steering ellipsoids corresponding to pure permutation symmetric $N$-qubit states with two distinct spinors. Depending on the degeneracy of the two spinors in the pure symmetric $N$-qubit state, there arise several families which cannot be converted into one another through Stochastic Local Operations and Classical Communications (SLOCC). The canonical steering ellipsoids of the two-qubit states drawn from the pure symmetric $N$-qubit states with two distinct spinors allow for a geometric visualization of the SLOCC-inequivalent class of states. We show that the states belonging to the W-class correspond to oblate spheroid centered at $(0,0,1/(N-1))$ with fixed semiaxes lengths $1/\sqrt{N-1}$ and $1/(N-1)$. The states belonging to all other SLOCC inequivalent families correspond to ellipsoids centered at the origin of the Bloch sphere. We also explore volume monogamy relations of states belonging to these families, mainly the W-class of states.","[""B G Divyamani"", ""I Reena"", ""Prasanta K Panigrahi"", ""A R Usha Devi"", ""Sudha""]",2023-01-01T19:46:21+00:00,2023-01-15T14:01:20+00:00,quant-ph,"[""quant-ph""]","13 pages, 13 figures; Revised version; Comments welcome","Phys. Rev. A 107, 042207 (2023)",10.1103/PhysRevA.107.042207,http://arxiv.org/abs/2301.01714v2,https://arxiv.org/pdf/2301.01714v2,cat:quant-ph AND submittedDate:[202301010000 TO 202312312359],2023
2301.00486,Time-Entanglement QKD: Secret Key Rates and Information Reconciliation Coding,"In time entanglement-based quantum key distribution (QKD), Alice and Bob extract the raw key bits from the (identical) arrival times of entangled photon pairs by time-binning. Each of them individually discretizes time into bins and groups them into frames. They retain only the frames with a single occupied bin. Thus, Alice and Bob can use the position of the occupied bin within a frame to generate random key bits, as in PPM modulation. Because of entanglement, their occupied bins and their keys should be identical. However, practical photon detectors suffer from time jitter errors. These errors cause discrepancies between Alice's and Bob's keys. Alice sends information to Bob through the public channel to reconcile the keys. The amount of information determines the secret key rate. This paper computes the secret key rates possible with detector jitter errors and constructs codes for information reconciliation to approach these rates.","[""Joseph J. Boutros"", ""Emina Soljanin""]",2023-01-01T22:38:35+00:00,2023-01-01T22:38:35+00:00,cs.IT,"[""cs.IT"", ""quant-ph""]","We intend to publish this manuscript in an IEEE journal. 33 pages, 2 tables, and 10 figures",,,http://arxiv.org/abs/2301.00486v1,https://arxiv.org/pdf/2301.00486v1,cat:quant-ph AND submittedDate:[202301010000 TO 202312312359],2023
2301.00494,Quantum Atomic Matter Near Two-Dimensional Materials in Microgravity,"Novel two-dimensional (2D) atomically flat materials, such as graphene and transition-metal dichalcogenides, exhibit unconventional Dirac electronic spectra. We propose to effectively engineer their interactions with cold atoms in microgravity, leading to a synergy between complex electronic and atomic collective quantum phases and phenomena. Dirac materials are susceptible to manipulation and quantum engineering via changes in their electronic properties by application of strain, doping with carriers, adjustment of their dielectric environment, etc. Consequently the interaction of atoms with such materials, namely the van der Waals / Casimir-Polder interaction, can be effectively manipulated, leading to the potential observation of physical effects such as Quantum Reflection off atomically thin materials and confined Bose-Einstein Condensate (BEC) frequency shifts.","[""Adrian Del Maestro"", ""Sang Wook Kim"", ""Nicholas P. Bigelow"", ""Robert J. Thompson"", ""Valeri N. Kotov""]",2023-01-02T00:36:49+00:00,2023-08-18T17:18:13+00:00,cond-mat.quant-gas,"[""cond-mat.quant-gas"", ""cond-mat.mes-hall"", ""physics.space-ph"", ""quant-ph""]","11 pages, 3 figures; discussion and references added","Quantum Science and Technology 8, 044002 (2023)",10.1088/2058-9565/acf1c8,http://arxiv.org/abs/2301.00494v2,https://arxiv.org/pdf/2301.00494v2,cat:quant-ph AND submittedDate:[202301010000 TO 202312312359],2023
2301.00502,Quantum Haecceity,"There is an extensive philosophical literature on the interrelated issues of identity, individuality, and distinguishability in quantum systems. A key consideration is whether quantum systems are subject to a strong form of individuality termed ""haecceity"" (from the Latin for ""this-ness""). I argue that the traditional, strong form of haecceity does not apply at the quantum level, but that in order to properly account for the need for symmetrization in quantum systems, a weaker kind of haecceity must be involved, which I call ""quantum haecceity."" In the process, I also question some generally accepted tenets of the current debate, such as the idea that symmetrization of states for identical quanta must be postulated and reflects permutation invariance. Instead, I note that a perturbative Hamiltonian is required for exchange effects, which suggests that the need for symmetrization arises from specific physical conditions.","[""Ruth E. Kastner""]",2023-01-02T02:03:57+00:00,2023-03-31T20:22:17+00:00,quant-ph,"[""quant-ph"", ""physics.hist-ph""]","Final accepted version, to appear in Proceedings of the Workshop ""Identity, Individuality and Indistinguishability in Physics and Mathematics,"" Philosophical Transactions A",Phil. Trans. R. Soc. A.38120220106 (2023),,http://arxiv.org/abs/2301.00502v4,https://arxiv.org/pdf/2301.00502v4,cat:quant-ph AND submittedDate:[202301010000 TO 202312312359],2023
